,gene,anno_lvl_2
0,APOA1,HEPATOCYTE
1,ALB,HEPATOCYTE
2,AFP,HEPATOCYTE
3,SOX10,GLIA
4,SOX2,GLIA
5,ZEB2,GLIA
6,PHOX2B,NEURON
7,MAPK10,NEURON
8,PDGFRA,FIBROBLAST
9,PDGFRA,MYOFIBROBLAST
10,ACTA2,MYOFIBROBLAST
11,MYH11,MYOFIBROBLAST
12,PMEL,MELANOCYTE
13,TYR,MELANOCYTE
14,TYRP1,MELANOCYTE
15,MLANA,MELANOCYTE
16,KRT14,KERATINOCYTE
17,KRT5,KERATINOCYTE
18,GATA3,KERATINOCYTE
19,KRTDAP,KERATINOCYTE
20,CDH5,ENDOTHELIUM
21,PECAM1,ENDOTHELIUM
22,CD34,ENDOTHELIUM
23,PAX7,MUSCLE SATELLITE CELLS
24,MYOD1,MUSCLE SATELLITE CELLS
25,MYF5,MUSCLE SATELLITE CELLS
26,UPK3B,MESOTHELIUM
27,LRRN4,MESOTHELIUM
28,SIX1,NEPHRON
29,CITED1,NEPHRON
30,PAX2,NEPHRON
31,ALDOB,NEPHRON
32,GLYAT,NEPHRON
33,GPX3,NEPHRON
34,SLC12A1,NEPHRON
35,CLCNKA,NEPHRON
36,ATP6V1B1,NEPHRON
37,KRT7,NEPHRON
38,S100P,NEPHRON
39,UPK1A,NEPHRON
